Landroid/accessibilityservice/BrailleDisplayController;->checkApiFlagIsEnabled()V,blocked
Landroid/accessibilityservice/BrailleDisplayController;->setTestBrailleDisplayData(Landroid/accessibilityservice/AccessibilityService;Ljava/util/List;)V,blocked,test-api

Landroid/adservices/adselection/AdSelectionFromOutcomesConfig$1;-><init>()V,blocked
Landroid/adservices/adselection/AdSelectionFromOutcomesConfig$1;->createFromParcel(Landroid/os/Parcel;)Landroid/adservices/adselection/AdSelectionFromOutcomesConfig;,blocked
Landroid/adservices/adselection/AdSelectionFromOutcomesConfig$1;->newArray(I)[Landroid/adservices/adselection/AdSelectionFromOutcomesConfig;,blocked
Landroid/adservices/adselection/AdSelectionFromOutcomesConfig;-><clinit>()V,blocked
Landroid/adservices/adselection/AdSelectionFromOutcomesConfig;-><init>(Landroid/adservices/common/AdTechIdentifier;Ljava/util/List;Landroid/adservices/common/AdSelectionSignals;Landroid/net/Uri;)V,blocked
Landroid/adservices/adselection/AdSelectionFromOutcomesConfig;-><init>(Landroid/adservices/common/AdTechIdentifier;Ljava/util/List;Landroid/adservices/common/AdSelectionSignals;Landroid/net/Uri;Landroid/adservices/adselection/AdSelectionFromOutcomesConfig-IA;)V,blocked
Landroid/adservices/adselection/AdSelectionFromOutcomesConfig;-><init>(Landroid/os/Parcel;)V,blocked
Landroid/adservices/adselection/AdSelectionFromOutcomesConfig;-><init>(Landroid/os/Parcel;Landroid/adservices/adselection/AdSelectionFromOutcomesConfig-IA;)V,blocked

Landroid/adservices/adselection/AdWithBid$1;-><init>()V,blocked
Landroid/adservices/adselection/AdWithBid$1;->createFromParcel(Landroid/os/Parcel;)Landroid/adservices/adselection/AdWithBid;,blocked
Landroid/adservices/adselection/AdWithBid$1;->newArray(I)[Landroid/adservices/adselection/AdWithBid;,blocked
Landroid/adservices/adselection/AdWithBid;-><clinit>()V,blocked
Landroid/adservices/adselection/AdWithBid;-><init>(Landroid/os/Parcel;)V,blocked
Landroid/adservices/adselection/AdWithBid;-><init>(Landroid/os/Parcel;Landroid/adservices/adselection/AdWithBid-IA;)V,blocked

Landroid/adservices/adselection/DecisionLogic$1;-><init>()V,blocked
Landroid/adservices/adselection/DecisionLogic$1;->createFromParcel(Landroid/os/Parcel;)Landroid/adservices/adselection/DecisionLogic;,blocked
Landroid/adservices/adselection/DecisionLogic$1;->newArray(I)[Landroid/adservices/adselection/DecisionLogic;,blocked
Landroid/adservices/adselection/DecisionLogic;-><clinit>()V,blocked
Landroid/adservices/adselection/DecisionLogic;-><init>(Landroid/os/Parcel;)V,blocked
Landroid/adservices/adselection/DecisionLogic;-><init>(Landroid/os/Parcel;Landroid/adservices/adselection/DecisionLogic-IA;)V,blocked

Landroid/adservices/adselection/GetAdSelectionDataOutcome$Builder;-><init>()V,blocked
Landroid/adservices/adselection/GetAdSelectionDataOutcome$Builder;->build()Landroid/adservices/adselection/GetAdSelectionDataOutcome;,blocked
Landroid/adservices/adselection/GetAdSelectionDataOutcome$Builder;->setAdSelectionData([B)Landroid/adservices/adselection/GetAdSelectionDataOutcome$Builder;,blocked
Landroid/adservices/adselection/GetAdSelectionDataOutcome$Builder;->setAdSelectionId(J)Landroid/adservices/adselection/GetAdSelectionDataOutcome$Builder;,blocked
Landroid/adservices/adselection/GetAdSelectionDataOutcome;-><init>(J[B)V,blocked
Landroid/adservices/adselection/GetAdSelectionDataOutcome;-><init>(J[BLandroid/adservices/adselection/GetAdSelectionDataOutcome-IA;)V,blocked

Landroid/adservices/adselection/GetAdSelectionDataRequest;-><init>(Landroid/adservices/common/AdTechIdentifier;Landroid/net/Uri;)V,blocked
Landroid/adservices/adselection/GetAdSelectionDataRequest;-><init>(Landroid/adservices/common/AdTechIdentifier;Landroid/net/Uri;Landroid/adservices/adselection/GetAdSelectionDataRequest-IA;)V,blocked

Landroid/adservices/adselection/PerBuyerDecisionLogic$1;-><init>()V,blocked
Landroid/adservices/adselection/PerBuyerDecisionLogic$1;->createFromParcel(Landroid/os/Parcel;)Landroid/adservices/adselection/PerBuyerDecisionLogic;,blocked
Landroid/adservices/adselection/PerBuyerDecisionLogic$1;->newArray(I)[Landroid/adservices/adselection/PerBuyerDecisionLogic;,blocked
Landroid/adservices/adselection/PerBuyerDecisionLogic;-><clinit>()V,blocked
Landroid/adservices/adselection/PerBuyerDecisionLogic;-><init>(Landroid/os/Parcel;)V,blocked
Landroid/adservices/adselection/PerBuyerDecisionLogic;-><init>(Landroid/os/Parcel;Landroid/adservices/adselection/PerBuyerDecisionLogic-IA;)V,blocked

Landroid/adservices/adselection/PersistAdSelectionResultRequest;-><init>(JLandroid/adservices/common/AdTechIdentifier;[B)V,blocked
Landroid/adservices/adselection/PersistAdSelectionResultRequest;-><init>(JLandroid/adservices/common/AdTechIdentifier;[BLandroid/adservices/adselection/PersistAdSelectionResultRequest-IA;)V,blocked

Landroid/adservices/adselection/ReportEventRequest;-><init>(Landroid/adservices/adselection/ReportEventRequest$Builder;)V,blocked
Landroid/adservices/adselection/ReportEventRequest;-><init>(Landroid/adservices/adselection/ReportEventRequest$Builder;Landroid/adservices/adselection/ReportEventRequest-IA;)V,blocked
Landroid/adservices/adselection/ReportEventRequest;->isValidDestination(I)Z,blocked

Landroid/adservices/adselection/SetAppInstallAdvertisersRequest;-><init>(Ljava/util/Set;)V,blocked
Landroid/adservices/adselection/SetAppInstallAdvertisersRequest;-><init>(Ljava/util/Set;Landroid/adservices/adselection/SetAppInstallAdvertisersRequest-IA;)V,blocked

Landroid/adservices/adselection/SignedContextualAds$1;-><init>()V,blocked
Landroid/adservices/adselection/SignedContextualAds$1;->createFromParcel(Landroid/os/Parcel;)Landroid/adservices/adselection/SignedContextualAds;,blocked
Landroid/adservices/adselection/SignedContextualAds$1;->newArray(I)[Landroid/adservices/adselection/SignedContextualAds;,blocked
Landroid/adservices/adselection/SignedContextualAds;-><clinit>()V,blocked
Landroid/adservices/adselection/SignedContextualAds;-><init>(Landroid/adservices/common/AdTechIdentifier;Landroid/net/Uri;Ljava/util/List;[B)V,blocked
Landroid/adservices/adselection/SignedContextualAds;-><init>(Landroid/adservices/common/AdTechIdentifier;Landroid/net/Uri;Ljava/util/List;[BLandroid/adservices/adselection/SignedContextualAds-IA;)V,blocked
Landroid/adservices/adselection/SignedContextualAds;-><init>(Landroid/os/Parcel;)V,blocked
Landroid/adservices/adselection/SignedContextualAds;-><init>(Landroid/os/Parcel;Landroid/adservices/adselection/SignedContextualAds-IA;)V,blocked

Landroid/adservices/adselection/UpdateAdCounterHistogramRequest;-><init>(Landroid/adservices/adselection/UpdateAdCounterHistogramRequest$Builder;)V,blocked
Landroid/adservices/adselection/UpdateAdCounterHistogramRequest;-><init>(Landroid/adservices/adselection/UpdateAdCounterHistogramRequest$Builder;Landroid/adservices/adselection/UpdateAdCounterHistogramRequest-IA;)V,blocked

Landroid/adservices/common/AdFilters$$ExternalSyntheticLambda0;-><init>(I)V,blocked
Landroid/adservices/common/AdFilters$$ExternalSyntheticLambda0;->write(Landroid/os/Parcel;Ljava/lang/Object;)V,blocked
Landroid/adservices/common/AdFilters$$ExternalSyntheticLambda1;-><init>(I)V,blocked
Landroid/adservices/common/AdFilters$$ExternalSyntheticLambda1;->write(Landroid/os/Parcel;Ljava/lang/Object;)V,blocked
Landroid/adservices/common/AdFilters$$ExternalSyntheticLambda2;-><init>(Landroid/os/Parcelable$Creator;)V,blocked
Landroid/adservices/common/AdFilters$$ExternalSyntheticLambda2;->read(Landroid/os/Parcel;)Ljava/lang/Object;,blocked
Landroid/adservices/common/AdFilters$$ExternalSyntheticLambda3;-><init>(Landroid/os/Parcelable$Creator;)V,blocked
Landroid/adservices/common/AdFilters$$ExternalSyntheticLambda3;->read(Landroid/os/Parcel;)Ljava/lang/Object;,blocked
Landroid/adservices/common/AdFilters$1;-><init>()V,blocked
Landroid/adservices/common/AdFilters$1;->createFromParcel(Landroid/os/Parcel;)Landroid/adservices/common/AdFilters;,blocked
Landroid/adservices/common/AdFilters$1;->newArray(I)[Landroid/adservices/common/AdFilters;,blocked
Landroid/adservices/common/AdFilters;-><clinit>()V,blocked
Landroid/adservices/common/AdFilters;-><init>(Landroid/adservices/common/AdFilters$Builder;)V,blocked
Landroid/adservices/common/AdFilters;-><init>(Landroid/adservices/common/AdFilters$Builder;Landroid/adservices/common/AdFilters-IA;)V,blocked
Landroid/adservices/common/AdFilters;-><init>(Landroid/os/Parcel;)V,blocked
Landroid/adservices/common/AdFilters;-><init>(Landroid/os/Parcel;Landroid/adservices/common/AdFilters-IA;)V,blocked
Landroid/adservices/common/AdFilters;->fromJson(Lorg/json/JSONObject;)Landroid/adservices/common/AdFilters;,blocked
Landroid/adservices/common/AdFilters;->getSizeInBytes()I,blocked
Landroid/adservices/common/AdFilters;->toJson()Lorg/json/JSONObject;,blocked

Landroid/adservices/common/AppInstallFilters$1;-><init>()V,blocked
Landroid/adservices/common/AppInstallFilters$1;->createFromParcel(Landroid/os/Parcel;)Landroid/adservices/common/AppInstallFilters;,blocked
Landroid/adservices/common/AppInstallFilters$1;->newArray(I)[Landroid/adservices/common/AppInstallFilters;,blocked
Landroid/adservices/common/AppInstallFilters;-><clinit>()V,blocked
Landroid/adservices/common/AppInstallFilters;-><init>(Landroid/adservices/common/AppInstallFilters$Builder;)V,blocked
Landroid/adservices/common/AppInstallFilters;-><init>(Landroid/adservices/common/AppInstallFilters$Builder;Landroid/adservices/common/AppInstallFilters-IA;)V,blocked
Landroid/adservices/common/AppInstallFilters;-><init>(Landroid/os/Parcel;)V,blocked
Landroid/adservices/common/AppInstallFilters;-><init>(Landroid/os/Parcel;Landroid/adservices/common/AppInstallFilters-IA;)V,blocked
Landroid/adservices/common/AppInstallFilters;->fromJson(Lorg/json/JSONObject;)Landroid/adservices/common/AppInstallFilters;,blocked
Landroid/adservices/common/AppInstallFilters;->getSizeInBytes()I,blocked
Landroid/adservices/common/AppInstallFilters;->toJson()Lorg/json/JSONObject;,blocked

Landroid/adservices/common/FrequencyCapFilters$1;-><init>()V,blocked
Landroid/adservices/common/FrequencyCapFilters$1;->createFromParcel(Landroid/os/Parcel;)Landroid/adservices/common/FrequencyCapFilters;,blocked
Landroid/adservices/common/FrequencyCapFilters$1;->newArray(I)[Landroid/adservices/common/FrequencyCapFilters;,blocked
Landroid/adservices/common/FrequencyCapFilters;-><clinit>()V,blocked
Landroid/adservices/common/FrequencyCapFilters;-><init>(Landroid/adservices/common/FrequencyCapFilters$Builder;)V,blocked
Landroid/adservices/common/FrequencyCapFilters;-><init>(Landroid/adservices/common/FrequencyCapFilters$Builder;Landroid/adservices/common/FrequencyCapFilters-IA;)V,blocked
Landroid/adservices/common/FrequencyCapFilters;-><init>(Landroid/os/Parcel;)V,blocked
Landroid/adservices/common/FrequencyCapFilters;-><init>(Landroid/os/Parcel;Landroid/adservices/common/FrequencyCapFilters-IA;)V,blocked
Landroid/adservices/common/FrequencyCapFilters;->fcapSetToJsonArray(Ljava/util/List;)Lorg/json/JSONArray;,blocked
Landroid/adservices/common/FrequencyCapFilters;->fromJson(Lorg/json/JSONObject;)Landroid/adservices/common/FrequencyCapFilters;,blocked
