Landroid/R$attr;-><clinit>()V,blocked
Landroid/R$styleable;-><clinit>()V,blocked
Landroid/Typedef;-><init>()V,blocked
Landroid/accessibilityservice/AccessibilityGestureEvent$$ExternalSyntheticLambda0;-><init>()V,blocked
Landroid/accessibilityservice/AccessibilityGestureEvent$$ExternalSyntheticLambda1;-><init>()V,blocked
Landroid/accessibilityservice/AccessibilityGestureEvent$1;-><init>()V,blocked
Landroid/accessibilityservice/AccessibilityGestureEvent$1;->newArray(I)[Landroid/accessibilityservice/AccessibilityGestureEvent;,blocked
Landroid/accessibilityservice/AccessibilityGestureEvent;-><clinit>()V,blocked
Landroid/accessibilityservice/AccessibilityGestureEvent;-><init>(II)V,blocked,test-api
Landroid/accessibilityservice/AccessibilityGestureEvent;->copyForAsync()Landroid/accessibilityservice/AccessibilityGestureEvent;,blocked
Landroid/accessibilityservice/AccessibilityGestureEvent;->recycle()V,blocked
Landroid/accessibilityservice/AccessibilityInputMethodSession;->finishInput()V,blocked
Landroid/accessibilityservice/AccessibilityInputMethodSession;->setEnabled(Z)V,blocked
Landroid/accessibilityservice/AccessibilityInputMethodSession;->updateSelection(IIIIII)V,blocked
Landroid/accessibilityservice/AccessibilityInputMethodSessionWrapper;->doFinishInput()V,blocked
Landroid/accessibilityservice/AccessibilityInputMethodSessionWrapper;->doFinishSession()V,blocked
Landroid/accessibilityservice/AccessibilityInputMethodSessionWrapper;->doUpdateSelection(IIIIII)V,blocked
Landroid/accessibilityservice/AccessibilityInputMethodSessionWrapper;->finishInput()V,blocked
Landroid/accessibilityservice/AccessibilityInputMethodSessionWrapper;->finishSession()V,blocked
Landroid/accessibilityservice/AccessibilityInputMethodSessionWrapper;->getSession()Landroid/accessibilityservice/AccessibilityInputMethodSession;,blocked
Landroid/accessibilityservice/AccessibilityInputMethodSessionWrapper;->lambda$updateSelection$0(IIIIII)V,blocked
Landroid/accessibilityservice/AccessibilityInputMethodSessionWrapper;->updateSelection(IIIIII)V,blocked
Landroid/accessibilityservice/AccessibilityService$2;->onAccessibilityButtonAvailabilityChanged(Z)V,blocked
Landroid/accessibilityservice/AccessibilityService$2;->onAccessibilityButtonClicked(I)V,blocked
Landroid/accessibilityservice/AccessibilityService$2;->onFingerprintCapturingGesturesChanged(Z)V,blocked
Landroid/accessibilityservice/AccessibilityService$2;->onFingerprintGesture(I)V,blocked
Landroid/accessibilityservice/AccessibilityService$2;->onInterrupt()V,blocked
Landroid/accessibilityservice/AccessibilityService$2;->onPerformGestureResult(IZ)V,blocked
Landroid/accessibilityservice/AccessibilityService$2;->onServiceConnected()V,blocked
Landroid/accessibilityservice/AccessibilityService$2;->onSoftKeyboardShowModeChanged(I)V,blocked
Landroid/accessibilityservice/AccessibilityService$2;->onSystemActionsChanged()V,blocked
Landroid/accessibilityservice/AccessibilityService$2;->onTouchStateChanged(II)V,blocked
Landroid/accessibilityservice/AccessibilityService$Callbacks;->onAccessibilityButtonClicked(I)V,blocked
Landroid/accessibilityservice/AccessibilityService$Callbacks;->onSystemActionsChanged()V,blocked
Landroid/accessibilityservice/AccessibilityService$Callbacks;->onTouchStateChanged(II)V,blocked
Landroid/accessibilityservice/AccessibilityService$IAccessibilityServiceClientWrapper;->bindInput()V,blocked
Landroid/accessibilityservice/AccessibilityService$IAccessibilityServiceClientWrapper;->lambda$clearAccessibilityCache$4()V,blocked
Landroid/accessibilityservice/AccessibilityService$IAccessibilityServiceClientWrapper;->lambda$onAccessibilityButtonAvailabilityChanged$12(Z)V,blocked
Landroid/accessibilityservice/AccessibilityService$IAccessibilityServiceClientWrapper;->lambda$onAccessibilityButtonClicked$11(I)V,blocked
Landroid/accessibilityservice/AccessibilityService$IAccessibilityServiceClientWrapper;->lambda$onFingerprintCapturingGesturesChanged$9(Z)V,blocked
Landroid/accessibilityservice/AccessibilityService$IAccessibilityServiceClientWrapper;->lambda$onFingerprintGesture$10(I)V,blocked
Landroid/accessibilityservice/AccessibilityService$IAccessibilityServiceClientWrapper;->lambda$onInterrupt$1()V,blocked
